    P[dbar]   T[ITS90]      Theta   Salinite      Gamma   Ox[ml/l]  Ox[um/kg]    Fluo[V]    F[Urel]   CSTAR[V]    C660[%]  C660[m-1]
     88.000    13.3154    13.3027    38.4748    29.0246    3.83856    166.562     1.2111     0.1763     4.5142    91.3182     0.0909
     89.000    13.3214    13.3086    38.4789    29.0265    3.83056    166.215     1.2041     0.1733     4.5159    91.3526     0.0904
     90.000    13.3215    13.3086    38.4818    29.0278    3.83056    166.215     1.1916     0.1678     4.5167    91.3693     0.0902
     91.000    13.3215    13.3086    38.4823    29.0282    3.83056    166.215     1.1829     0.1641     4.5170    91.3755     0.0902
     92.000    13.3215    13.3083    38.4815    29.0286    3.83384    166.357     1.1829     0.1641     4.5172    91.3786     0.0901
     93.000    13.3215    13.3080    38.4811    29.0291    3.83390    166.359     1.1829     0.1641     4.5172    91.3786     0.0901
     94.000    13.3215    13.3080    38.4817    29.0295    3.83390    166.359     1.1900     0.1672     4.5172    91.3786     0.0901
     95.000    13.3217    13.3080    38.4844    29.0309    3.83390    166.359     1.1900     0.1672     4.5175    91.3850     0.0901
     96.000    13.3268    13.3130    38.4865    29.0315    3.82968    166.175     1.1900     0.1672     4.5184    91.4051     0.0899
     97.000    13.3326    13.3186    38.4891    29.0323    3.82741    166.076     1.1710     0.1592     4.5191    91.4196     0.0897
     98.000    13.3352    13.3211    38.4899    29.0324    3.82374    165.917     1.1599     0.1548     4.5195    91.4271     0.0897
     99.000    13.3391    13.3248    38.4914    29.0328    3.81719    165.632     1.1591     0.1545     4.5195    91.4272     0.0897
    100.000    13.3456    13.3312    38.4936    29.0332    3.80776    165.223     1.1559     0.1532     4.5200    91.4383     0.0895
    101.000    13.3566    13.3420    38.4983    29.0345    3.79775    164.788     1.1511     0.1513     4.5202    91.4426     0.0895
    102.000    13.3672    13.3525    38.5025    29.0356    3.78896    164.406     1.1346     0.1451     4.5203    91.4445     0.0894
    103.000    13.3784    13.3635    38.5070    29.0367    3.77599    163.843     1.1236     0.1410     4.5203    91.4445     0.0894
    104.000    13.3826    13.3676    38.5085    29.0370    3.76870    163.526     1.1179     0.1389     4.5204    91.4455     0.0894
    105.000    13.3826    13.3676    38.5091    29.0370    3.76870    163.526     1.1132     0.1372     4.5203    91.4445     0.0894
    106.000    13.3826    13.3676    38.5096    29.0375    3.76870    163.526     1.1062     0.1347     4.5203    91.4445     0.0894
    107.000    13.3817    13.3662    38.5101    29.0386    3.76875    163.528     1.1059     0.1346     4.5204    91.4455     0.0894
    108.000    13.3808    13.3652    38.5105    29.0391    3.76875    163.528     1.1059     0.1346     4.5204    91.4461     0.0894
    109.000    13.3788    13.3631    38.5106    29.0396    3.76875    163.528     1.1042     0.1340     4.5204    91.4467     0.0894
    110.000    13.3730    13.3571    38.5098    29.0403    3.76796    163.494     1.1042     0.1340     4.5206    91.4494     0.0894
    111.000    13.3674    13.3514    38.5090    29.0409    3.76795    163.494     1.1042     0.1340     4.5211    91.4590     0.0893
    112.000    13.3607    13.3445    38.5079    29.0414    3.76760    163.478     1.1064     0.1348     4.5213    91.4640     0.0892
    113.000    13.3560    13.3397    38.5076    29.0422    3.76795    163.494     1.1158     0.1381     4.5215    91.4676     0.0892
    114.000    13.3517    13.3353    38.5076    29.0432    3.76796    163.494     1.1158     0.1381     4.5215    91.4680     0.0892
    115.000    13.3500    13.3334    38.5078    29.0437    3.77334    163.728     1.1158     0.1381     4.5223    91.4831     0.0890
    116.000    13.3461    13.3294    38.5073    29.0442    3.77691    163.883     1.1113     0.1365     4.5223    91.4840     0.0890
    117.000    13.3448    13.3279    38.5071    29.0443    3.77967    164.003     1.1050     0.1343     4.5223    91.4842     0.0890
    118.000    13.3432    13.3262    38.5070    29.0446    3.78219    164.112     1.0967     0.1315     4.5223    91.4845     0.0890
    119.000    13.3427    13.3253    38.5076    29.0454    3.78261    164.130     1.1050     0.1343     4.5224    91.4863     0.0890
    120.000    13.3420    13.3247    38.5083    29.0459    3.78283    164.140     1.0940     0.1305     4.5226    91.4892     0.0889
    121.000    13.3418    13.3246    38.5085    29.0459    3.78375    164.179     1.0932     0.1303     4.5226    91.4897     0.0889
    122.000    13.3414    13.3238    38.5086    29.0463    3.78586    164.271     1.0940     0.1305     4.5226    91.4907     0.0889
    123.000    13.3389    13.3212    38.5088    29.0470    3.79016    164.458     1.1032     0.1337     4.5227    91.4913     0.0889
    124.000    13.3383    13.3204    38.5090    29.0474    3.79119    164.502     1.1032     0.1337     4.5228    91.4947     0.0889
    125.000    13.3364    13.3182    38.5095    29.0483    3.79119    164.502     1.1039     0.1340     4.5228    91.4950     0.0889
    126.000    13.3364    13.3182    38.5097    29.0483    3.79016    164.458     1.1102     0.1362     4.5228    91.4950     0.0889
    127.000    13.3364    13.3182    38.5108    29.0494    3.78953    164.430     1.1102     0.1362     4.5228    91.4950     0.0889
    128.000    13.3377    13.3192    38.5123    29.0502    3.78603    164.278     1.1125     0.1370     4.5229    91.4954     0.0889
    129.000    13.3381    13.3194    38.5131    29.0506    3.78440    164.207     1.1102     0.1362     4.5229    91.4954     0.0889
    130.000    13.3381    13.3194    38.5136    29.0512    3.77983    164.009     1.1113     0.1365     4.5229    91.4954     0.0889
    131.000    13.3381    13.3194    38.5140    29.0514    3.77893    163.970     1.1097     0.1360     4.5229    91.4957     0.0889
    132.000    13.3375    13.3185    38.5146    29.0521    3.77770    163.917     1.1103     0.1362     4.5229    91.4958     0.0889
    133.000    13.3375    13.3185    38.5153    29.0531    3.77677    163.876     1.1063     0.1348     4.5232    91.5031     0.0888
    134.000    13.3375    13.3185    38.5175    29.0545    3.77420    163.764     1.1103     0.1362     4.5235    91.5081     0.0888
    135.000    13.3383    13.3188    38.5186    29.0551    3.77007    163.585     1.1055     0.1345     4.5236    91.5115     0.0887
    136.000    13.3391    13.3195    38.5196    29.0558    3.76729    163.464     1.1042     0.1340     4.5236    91.5115     0.0887
    137.000    13.3406    13.3208    38.5202    29.0560    3.76569    163.395     1.1012     0.1330     4.5238    91.5143     0.0887
    138.000    13.3412    13.3213    38.5209    29.0564    3.76292    163.274     1.0979     0.1318     4.5238    91.5158     0.0887
    139.000    13.3424    13.3223    38.5212    29.0564    3.76292    163.274     1.0979     0.1318     4.5238    91.5153     0.0887
    140.000    13.3435    13.3233    38.5220    29.0569    3.76292    163.274     1.0979     0.1318     4.5240    91.5196     0.0886
    141.000    13.3448    13.3244    38.5226    29.0571    3.76268    163.263     1.0993     0.1323     4.5241    91.5221     0.0886
    142.000    13.3458    13.3253    38.5230    29.0572    3.76268    163.263     1.0993     0.1323     4.5240    91.5196     0.0886
    143.000    13.3460    13.3254    38.5232    29.0574    3.76268    163.263     1.0993     0.1323     4.5242    91.5231     0.0886
    144.000    13.3465    13.3257    38.5239    29.0578    3.76268    163.263     1.0993     0.1323     4.5242    91.5239     0.0886
    145.000    13.3472    13.3263    38.5246    29.0582    3.76226    163.245     1.1014     0.1331     4.5242    91.5231     0.0886
