  Cycle   ACYCAA01:1  ATTNDR01:1  CPHLPS01:1  DOXYSC01:1  DWIRPP01:1  OXYSSC01:1  POPTDR01:1  POTMCV01:1  PRESPR01:1  PSALCC01:1  SIGTPR01:1  TEMPST01:1  UWIRPP01:1  
Number              f           f           f           f           f           f           f           f           f           f           f           f           f 
      67)         67       0.074        0.13       225.3        0.42      103.38      98.180      22.655       70.00      36.939      25.506      22.664        0.04 
      68)         68       0.074        0.13       225.4        0.41      103.46      98.170      22.658       71.00      36.940      25.506      22.667        0.04 
      69)         69       0.073        0.10       225.2        0.40      103.42      98.180      22.684       72.00      36.942      25.500      22.693        0.04 
      70)         70       0.073        0.08       225.2        0.38      103.32      98.190      22.643       73.00      36.939      25.510      22.652        0.04 
      71)         71       0.074        0.07       225.1        0.38      103.30      98.180      22.655       74.00      36.940      25.507      22.665        0.03 
      72)         72       0.074        0.08       225.2        0.37      103.25      98.170      22.607       75.00      36.935      25.517      22.617        0.03 
      73)         73       0.074        0.10       225.2        0.35      103.28      98.170      22.608       76.00      36.936      25.518      22.618        0.03 
      74)         74       0.073        0.10       224.9        0.35      103.08      98.180      22.577       77.00      36.931      25.523      22.587        0.03 
      75)         75       0.073        0.10       225.3        0.34      103.20      98.200      22.554       78.00      36.929      25.528      22.564        0.03 
      76)         76       0.072        0.10       225.6        0.33      103.32      98.210      22.545       79.00      36.929      25.530      22.556        0.03 
      77)         77       0.072        0.12       225.0        0.32      103.09      98.200      22.564       80.00      36.931      25.526      22.575        0.03 
      78)         78       0.073        0.11       225.7        0.31      103.31      98.200      22.517       81.00      36.927      25.537      22.528        0.03 
      79)         79       0.072        0.14       225.5        0.30      103.24      98.200      22.527       82.00      36.929      25.536      22.538        0.03 
      80)         80       0.072        0.13       225.7        0.29      103.31      98.200      22.521       83.00      36.928      25.537      22.532        0.03 
      81)         81       0.073        0.15       225.3        0.28      103.13      98.200      22.504       84.00      36.929      25.542      22.516        0.02 
      82)         82       0.073        0.13       225.1        0.27      103.02      98.200      22.500       85.00      36.930      25.544      22.512        0.02 
