    P[dbar]   T[ITS90]      Theta   Salinite      Gamma   Ox[ml/l]  Ox[um/kg]    Fluo[V]    F[Urel]    CDOM[V] CDOM[Urel]   CSTAR[V]    C660[%]  C660[m-1]
     62.000    14.1765    14.1672    38.2795    28.6879    4.83157    209.669     1.3164     0.2295     0.0000    -1.6296     4.5770    92.6073     0.0768
     63.000    14.1590    14.1496    38.2823    28.6939    4.82352    209.319     1.3128     0.2274     0.0000    -1.6296     4.5781    92.6292     0.0766
     64.000    14.1399    14.1304    38.2827    28.6984    4.82029    209.179     1.3106     0.2262     0.0000    -1.6296     4.5784    92.6342     0.0765
     65.000    14.1290    14.1193    38.2837    28.7016    4.81782    209.072     1.3088     0.2252     0.0000    -1.6296     4.5788    92.6419     0.0764
     66.000    14.1218    14.1120    38.2828    28.7025    4.81782    209.072     1.3041     0.2226     0.0000    -1.6296     4.5788    92.6419     0.0764
     67.000    14.1074    14.0974    38.2831    28.7059    4.81759    209.063     1.3041     0.2226     0.0000    -1.6296     4.5788    92.6419     0.0764
     68.000    14.0989    14.0888    38.2828    28.7076    4.81433    208.921     1.3041     0.2226     0.0000    -1.6296     4.5783    92.6321     0.0765
     69.000    14.0820    14.0717    38.2807    28.7096    4.81402    208.908     1.3119     0.2269     0.0000    -1.6296     4.5783    92.6321     0.0765
     70.000    14.0604    14.0500    38.2806    28.7142    4.81402    208.908     1.3131     0.2276     0.0000    -1.6296     4.5783    92.6321     0.0765
     71.000    14.0533    14.0428    38.2791    28.7147    4.80807    208.650     1.3153     0.2289     0.0000    -1.6296     4.5783    92.6321     0.0765
     72.000    14.0464    14.0357    38.2796    28.7166    4.79626    208.138     1.3153     0.2289     0.0000    -1.6296     4.5791    92.6489     0.0764
     73.000    14.0433    14.0325    38.2819    28.7191    4.77220    207.093     1.3153     0.2289     0.0000    -1.6296     4.5799    92.6645     0.0762
     74.000    14.0318    14.0208    38.2813    28.7212    4.74560    205.939     1.3134     0.2278     0.0000    -1.6296     4.5804    92.6744     0.0761
     75.000    14.0161    14.0050    38.2832    28.7261    4.71242    204.499     1.3000     0.2203     0.0000    -1.6296     4.5815    92.6984     0.0758
     76.000    13.9912    13.9799    38.2876    28.7349    4.67957    203.073     1.3000     0.2203     0.0000    -1.6296     4.5831    92.7319     0.0754
     77.000    13.9581    13.9467    38.2897    28.7437    4.65750    202.116     1.3000     0.2203     0.0000    -1.6296     4.5866    92.8035     0.0747
     78.000    13.8508    13.8393    38.2965    28.7721    4.65404    201.966     1.3000     0.2203     0.0000    -1.6296     4.5878    92.8283     0.0744
     79.000    13.7984    13.7868    38.3033    28.7887    4.64537    201.589     1.3000     0.2203     0.0000    -1.6296     4.5888    92.8477     0.0742
     80.000    13.7636    13.7519    38.3050    28.7975    4.63390    201.092     1.2980     0.2192     0.0000    -1.6296     4.5895    92.8629     0.0741
     81.000    13.7586    13.7467    38.3060    28.7994    4.61526    200.283     1.2956     0.2179     0.0000    -1.6296     4.5896    92.8660     0.0740
